review_es,sentiment
"Basado en la novela más vendida ""El despido"", la estrella desaparecida, la última película del aclamado director italiano Gianni Amelio, es la historia de la creciente amistad entre un hombre de mantenimiento italiano mayor y un intérprete joven que contrata en Shanghai para ser su Guía a través de China. Vincenzo Buonovolonta es el gerente de mantenimiento en un molino de acero en Italia que se ha cerrado y el alto horno vendido a China. Cuando Vincenzo (Sergio Castellitto) descubre que una unidad de control en el horno es defectuosa y potencialmente peligrosa, viaja a China para encontrar la fábrica de acero donde la parte se ha vendido con la esperanza de prevenir un accidente fatal. La película, por supuesto, es Sobre el viaje, no el destino para usar un cliché familiar y, en ese viaje, estamos enérgicos para una apariencia atractiva en China con toda su inmensa belleza y complejidad, a través de la cinematografía excepcional de Luca Bigazzi. La película nos lleva a Shanghai, Wuhan, Chongquing, Baotou, y un viaje a lo largo del río Yangstze que muestra las áreas costeras de los Estados Unidos que están programadas para inundarse cuando la presa de las tres gargantas es totalmente operativa, un mega-proyecto chino que ha resultado en el desplazamiento. de 1.2 millones de personas. El viaje lleva a los viajeros cara a cara con la pobreza, la vivienda superpoblada, y los niños se fueron para defenderse por sí mismos. La película gira en torno a la relación entre Vincenzo y traductora Liu Hua (Tai Ling) que primero se reúnen en Italia, donde su impaciencia con sus traducciones en Una reunión de la cena le hace perder su trabajo. Cuando la rastrea en Shanghai, ella está trabajando en una biblioteca y resistente al enfoque de Vincenzo. Mirando su oferta para ayudarlo en sus viajes en China tan poco más que un trabajo bien pagado, ella de mala gana acepta acompañarlo. Su relación, sin embargo, crece a medida que se muden de la ciudad a la ciudad, sus habilidades interpretativas en evidencia para ayudar al desconcertado Vincenzo que no posee un teléfono celular. Se abren lentamente entre sí, exponen la vulnerabilidad y la película de cada uno. Pose en su vida pasada y presente y cómo llegaron a su situación actual. Nos encontramos con el hijo de Liu (Lin Wang) en la casa de su abuela. En la política de un niño de China, es uno de los niños no deseados que han estado ""ocultos"", ya que el padre del niño abandonó a la familia. Aunque la reunión entre Vincenzo y el niño es informal, su relación se convierte en fundamental para cómo se desarrolla la historia. Castellitto es un excelente actor (aunque uno anhela un enrico más joven en este papel). Sin embargo, está emocionalmente distante en toda la película, su expresión rara vez cambia de una expresión de la HangDog lejano. Aunque Tai Ling trae una gran cantidad de presencia al papel, su relación con el gran Vincenzo nunca parecía real para mí y el final parecía existir solo en una realidad conocida como el cine. Aunque Amelio es uno de mis directores favoritos, viniendo en los talones de las llaves brillantes de la casa, la estrella desaparecida es una decepción.",positive
"Esto es triste que esta película es la cima, esto debería estar al menos en las 250 mejores películas aquí.Esta es todavía la mejor película de acción jamás.Las películas de acción de hoy están mal realizadas, los actores y los directores de acción, no, no hacen que lo haga luchando y se acaluden correctamente.Solo un poco de cómo hacerlo principalmente de Hong Kong como Jackie Chan.Los trucos son tan inteligentes y salvajes, no creo que veamos a los gustos de todos.El comienzo donde Chan y su equipo bajan por la persecución del coche de la colina a través de la ciudad de la colina, es simplemente increíble.Los trucos de la lucha final son para mí, las mejores trucos de pelea alguna vez se ponen a la película.El truco final se deslizaba por el polo que se estrella a través del cristal, estaba gravemente herido.",positive
"Me pareció muy difícil ver esto después de los 5 minutos iniciales de la película. Logré el estómago de 45 a 50 minutos antes de encenderlo con disgusto y ver a Monster House (que, por cierto, es muy divertido). La historia tiene agujeros masivos. La línea de la trama es muy exigida y aburrida, la actuación es horrible, especialmente de Justin Timberlake, que realmente debería atenerse a lo que es bueno en (mirando a Daft y cantando como un castrato). Morgan Freeman se veía increíblemente incómodo, especialmente cuando se hizo bailar a la música de rock por ninguna razón aparente a mitad de la película después de él y Timberlake se reúnen. Los personajes de Freeman y Timberlake se supone que tienen algún tipo de relación padre / hijo de tipo o algo, que simplemente no es evidente en absoluto del hecho de que; Aunque el personaje de Freeman parece no tener nada más que desprecio por el carácter ignorante y bastante estúpido de Timberlake, nunca quiere sacar todas las paradas para ayudarlo a descubrir una cubierta completamente ridícula. Tomaría una increíble suspensión de incredulidad para darle crédito. A la línea de la historia, que es simplemente absurda y sopla de todas las proporciones. No observe esta película, es una pérdida pura de tiempo.",negative
"This movie is a real low budget production, yet I will not say anything more on that as it already has been covered I give this movie a low rating for the story alone, but I met the director the night I saw the film and he gave me an additional reason to dislike the movie He asked me how I enjoyed it and I told him that it was not easy to like My main objection was the lack of foundation for the relationship between the two main characters, I was never convinced that they were close I also told him that the scene where the main characters were presented as children becoming friends was too late in the filmHe told me that the flashback scenes were not in the original script That they were added because he felt like I did that the two main characters did not appear close He went on to explain that these scenes were not filmed to his satisfaction as they were out of money I agree that they did not do much for the filmAnother fact about the movie, that I was not aware of, is the actor who had the lead wrote the script based on his own personal experience This is usually a bad move as some writers do not take into consideration the emotional reaction the viewer The story is so close to home that the writer make too many assumption as to the audience's reaction to his own tragedy And the story is tragic However, it did not work for me as I never cared for any of the characters, least of all the lead What was presented were two evil people out to make a buck by any means, regardless who gets hurt When Ms Young's character decides to give up he evil ways, it appears that she does so because she is ineffective, not because she knows she is doing wrong If the movie has a message then I suspect that only the writer is aware of it",negative
"Miro esta película sin grandes expectativas, creo que todos deben hacer.Es una gran serie de TV y, por supuesto, no podíamos compararlo con el viento, pero sigue siendo bueno ver.También es raro ver a una Scarlett diferente.Joanne Whalley No juegue a Scarlett con pasión y fuego como Vivien Leigh, pero creo que Scarlett se cambia cuando se volvió mayor.No esperes mucho de esto solo mirar, pero no observes como: creo que esto sería horrible.",positive
"¡Qué diversión llena, película sexy!Ciertamente no los hacen como esto.4 Sexy Au pares llegan a Londres y tienen todo tipo de desventuras sexuales.El tono es extrañamente inocente, ya que la considerable desnudez evoluciona fuera de stock situaciones frascicas, en lugar de cualquier deseo sexual abierto por parte de los personajes.Es solo cuando las actrices accidentalmente pierden la ropa que los personajes masculinos se vuelven rampantes.Richard O 'Sullivan literalmente obtiene' Randi '(SIC).La película ciertamente traiciona los orígenes de la característica de softcore, ya que se encuentra en las cuties nudie y las películas del naturismo de la vieja escuela.Mi interés especial en 'Au Pair Girls' es que soy un gran fanático de Gabrielle Drake.Si alguna actriz se ha visto mejor desnudo (ella es delgada pero maravillosamente curvada), o vestida, llega a eso (la he amado desde la carrera original de OVNI, ¿quién más podría llevar una peluca púrpura?), Comerémi sombrero.",positive
"Jackass número dos es fácilmente la película más hilarante de 2006, superando a los empleados, también hilarantes, II. Es una de las mejores secuelas en la memoria reciente, superando a Jackass la película en todos los sentidos. Ahora, esta película puede ser la más divertida, pero también es la más ofensiva, espantosa y totalmente repugnante. Te encontrarás sentirte enfermo varias veces en toda la película. Soy completamente serio cuando digo que no comas nada antes de mirar o durante esta película, porque las posibilidades son que literalmente vuelvan para perseguirte. Mantenga la bebida al mínimo también. Has advertido, porque, como dice el Tagline, lo hará rogar por Mercy.Jackass Número dos sigue a los locos del éxito Show Jackass, Johnny Knoxville, Bam Margera, Ryan Dunn, Steve-O, Chris ' Partido de la fiesta 'Poncio, Preston Lacy, Ehren McGHEHEY, Dave Inglaterra, Brandon Dicamillo y Jason' Wee Man 'Acuna (el propio Raab de Chris' está ausente), ya que realizan las acrobacias más escandalosas, que amenazan la vida y la repelación imaginables. No voy a decir lo que son los trucos, pero le avisaré que cualquier escena con un animal estará repugnante o psicológicamente aterradora, y que un miembro fundido (una vez más, sin decirlo) coqueteará con la muerte varias veces en el Película. Lo que hace que Babyass número dos, así que entretenido, no es el propio trucos, sino la forma en que el reparto reacciona a ellos y a hacerlos. Para ponerlo simple, si les encantó hacerlo y se dividió, también lo harás (esto va por el 99% de los trucos). Todos los trucos son muy originales, y el 90% de ellos nunca se ven antes. Serás presenciales de algunos reciclados, pero se amparán. No pensarías en dirigir realmente factores en una película como esta, pero sí; La dirección de Jeff Tremaine hace que la película sea mucho más divertida, porque proporciona orientación para la pandilla en su tiempo de comedia, que es simplemente brillante por su parte. Podría acabarse de volver a sentarse y dormirse en todo filmación (en realidad, verás en la película que durmió a través de alguna filmación), pero salió allí y ayudó a estos chicos locos a hacer los trucos tan graciosos como pudo. Le doy al Sr. Tremaine dos pulgares para eso. Otra gran cosa de Jackass es su bonanza de Celebrity Caveos, y esta vez incluyen la leyenda de BMX Mat Hoffman, patineta dios Tony Hawk, director / actor Jay Chandrasekhar (Super Troopers & Beerfest), actor Luke Wilson, Miami Dolphins Star Jason Taylor, y Director / Actor Mike Juez (Espacio de Office). Las escenas con Hoffman, Taylor y Chandrasekhar se encuentran entre las más divertidas de la película, ya que incluso es más divertido ver a estos hombres como parte de la película.Jackass número dos es uno de los más políticamente incorrectos, moralmente degradantes y simplemente incorrectos Películas de todos los tiempos, si no lo más. A pesar de esto, es tan original y tan hilarante que no te importará. Estarás jadeando por el aire, riendo tan fuerte que estarás llorando y saltando de tu asiento riéndose durante toda la película. Debido al contenido gráfico explícito y potencialmente perturbador de esta película, nadie menor de 18 años debería ver esta película. Has sido advertido. Espero que disfrutes de Jackass número dos tanto como yo .10 / 10 --spy",positive
"¡Dale la espalda o vas a sacarle problemas de la espalda de mi novio! Sólo un final feliz puede florecer su inocencia que está llena de penumbra y Doom en el momento en que está viendo esto. Es seguro decir que toda la película se desmorona, con un enfoque sarcástico y un homenaje a los espectáculos de zombi que desafían tonterías al máximo. Recibimos un nombre como ""Johnny"" de vez en cuando, y este ""Johnny"" no tiene a dónde ir. No hay una razón específica para la razón por la que nuestro ""cadáver muerto"" se arrastra por su tumba solo para sobrevivir hasta la noche de graduación, para que lo convierta en la película totalmente inútil. Sin una sensación de dolor, su madre está convencida de decirle al médico que está muerto. Johnny da un bocado del brazo de Eddie después. El espectador se le hace una pregunta difícil: ¿Por qué la película tiene que ser esta bolita de cornal? Hay una respuesta. Cualquier semejanza con todas las personas que viven o muertas es puramente coincidente. ""Vivir"" es una coincidencia. ""Muerto"" no tiene nada en común con la película. Muestra este a tu novia y ella se omitirá el Prom Senior, convertir su vida en una ruina abandonada. ¡¡¡Paja!!!",negative
"I remember the events of this movie, the ill fated cruise of Donald Crowhurst in 1968, in the Golden Globe single handed around the world yacht race I was a 13 year old, living in England The previous year Francis Chichester (later Sir Francis; he was knighted for his exploits) had completed the first solo circumnavigation of the globe I remember it mostly because we were given time off school to watch his return (on a grainy black and white TV!) and then his knighting by the Queen It provoked a huge outpouring of patriotic fervor in the UK It all seems so quaint now Chichester became a national hero, but he had stopped half way, in Australia, to re-fit his yacht, so the next logical step for yachtsmen was to attempt the journey without stoppingIt's important to remember that this was a world pre-GPS, when communications on land were still pretty erratic, never mind in the middle of the ocean Now with GPS receivers that fit on a key chain and calculate a position within a metre anywhere on earth, it's hard to recall a time when you could go to sea and quite literally, vanish As Donald Crowhurst did A number of yachtsmen signed up (all men back then), including mystery man, Crowhurst Essentially a weekend sailor, Crowhurst had not been a spectacular success in any previous enterprise, including careers in the British Army, the Air Force and as an electronics entrepreneur selling navigation aids He wanted to do something big with his life, and he saw the five thousand pound first prize (well over $100,000 in today's money) and the ensuing publicity as a means of kick starting his business He signed a deal with a sponsor that proved more watertight than his boat, and which meant failure would bankrupt him, and soon found himself a popular figure with journalists as he prepared for the race Now the Brits always love the idea of the gutsy amateur taking on the 'pros' (Think Eddie the Eagle losing endless Olympic ski jump competitions, and the amateur riders who regularly start the Grand National horse race) The public queued up to see him set off, but his boat wasn't really ready, and even as he started (the last competitor to leave the UK) Crowhurst must have known he didn't seriously have a chance But too much was riding on him to quitIn the wonderful archive footage we see doubt written all over his poor wife's face Left behind with their 4 children, she is interviewed movingly throughout the film, together with one of Crowhurst's sons She was in a no-win situation Had she attempted to stop him, she would have been considered a spoiler, but afterward she was riven with doubt, as to whether she could have saved his life by stopping him Faced with the certain truth that his boat was leaking and would never make it through the southern oceans, and unable to turn around and face ridicule, bankruptcy and ignominy, Crowhurst devised a plan to cheat Laid up offshore Argentina and Brazil, out of radio contact, he waited for the leaders to round Cape Horn and start back up the Atlantic, thinking he could sneak in at the end of the line and pretend he had sailed all the way around the globe He elaborately falsified his logs, and made 16mm films and audio recordings to back up his plan But as one after another the other competitors dropped out, he realized that in fact he would come in 2nd and his logs would be scrutinized Unable to face certain detection, his journal suggests he lost his grip on reality and eventually committed suicide His yacht was found He never was This beautifully edited film also follows the journey of Bernard Moitessier, an experienced and enigmatic French sailor, who was in second place and certain of the fastest journey prize, when he abruptly left the race, unable to deal with the clamour and publicity he knew he would face, and sailed into the wide blue yonder, eventually pulling up some 10 months later in Tahiti Having spent some seven years working at sea myself, (albeit on very different ships to these) I well understand the pull of the ocean Standing on deck, seeing water in every direction to the horizon, knowing there's a couple of miles of water below you, nothing between you and oblivion but a thin metal hull, without easy access to TV or radio (even nowadays on most working ships, you feel pretty isolated), it's possible to truly escape from the responsibilities of everyday life for a while There is some thoughtful analysis of what drives people to attempt this kind of very long, lonely journey and the effect it has on the human mind Most people would think that attempting to raise 4 children is adventure enough, but much is made of the need for self discovery in the hardships at sea, the search for self I strongly suspect that Robin Knox Johnston, the ex navy guy who won the race (and many since) probably knew pretty well who he was before he set off, which was why he succeeded not just in winning the race but also retaining his sanity en route Those who went searching for something profound within themselves, may not have entirely liked what they found The marvelous archive footage of Britain in the late 60s is almost reason enough to watch this, (did it really look quite that bad? I don't remember it looking quite so dowdy, but perhaps we blot out the worst aspects of the past?) but overall, it is an excellently well made and engrossing movie Highly recommended",positive
"""Ally McBeal"" era un espectáculo lo suficientemente decente, pero estaba muy sobrevalorado.Los personajes se vuelven aburridos después de un tiempo y los chistes comienzan a quedarse cortos. Creo que eligió un punto apropiado en el tiempo para irse, estaba empezando a superar su bienvenida.",negative
"Malo, sonido ambiental.Muchos barajos.Escenas sin sentido loooong.EG: Guy ve a una mujer interesante en el vestíbulo.Logra quedarse allí y verla bajo la forma de esperar a que el supervisor del edificio obtenga un paquete.No digas nada.Mira fijamente.Más barajilla y otro ruido ambiental irritante.Esperar.Esperar.Esperar.El chico no dice nada.La mujer parece asustada o al menos ligeramente perturbada sobre ella y con razón.El gerente vuelve con el paquete.El chico sube al apartamento con el paquete. Otro ejemplo: el tipo y su anfitrión se sientan alrededor viendo una mala televisión.Más ruido ambiental y arrastramiento.Espera esperar espera espera.El chico se va a la cama.Si puedes soportar sentarse más de esta película, puedes verlos ver la televisión de nuevo más tarde. Si quieres una historia, cualquier diálogo, entretenimiento o una película bien diseñada, busque en otro lugar.",negative
"Está bien, así que amo a Aidan Quinn que actúa incluso con un mal escritorio. Este no es el caso en la tarea. Como otros espectadores han dicho, esta fue una película que me topé con el cable y me metí, no quería que terminara. Tome una marina de guerra cubana estadounidense. (Quinn), que es un soldado en posición vertical y un hombre de familia. Agregue un agente enloquecido (Donald Sutherland) que está buscando el terrorista más notorio del mundo y agregue un Ben Kingsley y usted tiene ""la tarea"". Sutherland es un testigo de las acciones terroristas más notorias de Carlos en una cafetería en un hermoso día donde está tan profundamente sacudido a este hombre malo que su única razón para vivir es conseguir a este hombre siempre y cuando él sortea la respiración. Tome un soldado en Un pase en Israel que es un timbre muerto para este hombre y es golpeado y sostenido por Kingsley hasta que se dan cuenta de que tienen un plan. Al asumir a Carlos por ser él, o ser siempre responsable de nunca ayudarlo a librar al mundo, lo convierte en una tarea muy pesada y un viaje de culpa. Al no haber ayudado a su país, está obligado a ser un hombre y su deber militar de elegir sabiamente. Así comienza el entrenamiento. Permite decir que la capacitación de Carlos esté allí con la Academia de Artes y Holocaustos. Cuando digo, tasa de cine intensa y maravillosamente proyectada, escritos y ejecutados lo mejor, no lo estoy logrando. Los tres actores podrían salvar casi cualquier script ... esto es una película que se puede ver en el marco uno a los créditos. ¡No estoy en terrorismo o películas al respecto, pero me enganché! Bravo de nuevo a Aidan Quinn, quien por una vez juega un pesado que podría contener a cualquier actor, incluido Gary Olderman. Ese es un cumplido. Alquila y consigue un montón de palomitas de maíz. Oh, ¿mencioné el sexo? Funciona mejor que ""Último tango!"" Y su educación.",positive
"Recuerdas la película de Spice Girls y lo mal que era (además de las canciones), bueno, su gerente Simon Fuller (también el gerente de esta banda) hace el mismo error en el club S (otra de mis bandas favoritas) en su propia película.S Club: Tina Barrett, Jon Lee, Bradley McIntosh, Jo O'Meara, Hannah Spearritt y Rachel Stevens (¿qué pasó con el séptimo miembro, Paul Cattermole?) Básicamente, pídale un descanso a su jefe, continúan y mientras están allí.¡Nos vemos en la televisión!Tres de ellos intercambian, y viceversa, medio descubren que son clones hechos por un científico codicioso, y la otra mitad se pone en problemas.También protagonizada por Gareth Gates como un clon de sí mismo.Esta película puede tener más de una parcela que la película de Spice Girls, pero además de las canciones ""Traerlo todo"", ""No dejes de moverme"" y ""Nunca hubiera hecho un sueño hecho realidad"", esta no es una razón de GoO para veresta película.No mucho tiempo después de que la banda se dividiera para siempre.¡Adecuado!",negative
"Vi mar de polvo como parte de una audiencia de detección de Nueva York hace varios años. Disfruté la película en ese momento, así que estaba un poco confundido por algunas de las enmiendas que se habían hecho desde entonces. Tal vez sea mi memoria, pero parecía haber falsias de exposición que faltaba en la versión que se mostraba en el Festival de Cine de Rhode Island. Realmente no estoy seguro de qué versión prefiero, pero honestamente puedo decir que encontré algo que lo apreciaré. Comience por advertencia a todos que esto no es una película de palomitas de maíz. Aunque se ha promovido como un homenaje de películas de Hammer, las personas que esperan un enfrentamiento entre Van Helsing y Drácula se sentirán muy decepcionados. Hay cierta escisión, pero ninguna desnudez (un elemento básico de las películas posteriores de la casa de producción británica). Y mientras el mar de polvo está lleno de hermosos ojos de ojos (realmente se dispara como una película de sesenta), y cuenta con Hammer Starlet Ingrid Pitt, no es como ninguna de las imágenes de la compañía en tono o ejecución. Esta película es muy oscura, muy confusa, y (a veces) muy divertida. No recuerdo que la versión anterior es tan nutable como esta, pero eso no es algo malo (especialmente el enfrentamiento en el bosque negro que juega como un corto stooges). Y algunos de los trasladuras de la Sra. Pitt son bastante entretenidos. Es como si alguien la hubiera arrepentido y se volvió suelto. Sin embargo, la singularidad de esta película no miente con los detalles prestados. Está en las ideas. Como visor de ciencia fidelismo ocasional, he tomado regularmente la red a la tarea de sus variaciones de una sola nota en un tema (CGI Monster mata, luego se destruye). El mar de polvo está tan lleno de ideas que empiezas a tropezar sobre ellos después de un rato. Pero no me malinterpretes. No me estoy quejando. En todo caso, aplaudo a estos tipos por hacer una imagen tan emprendedora de bajo presupuesto y por tener el coraje de empacarlo con tantos conceptos. No va a ser un picnic para las personas que odian pensar en las películas (ya sabes quién eres). Pero para el resto de nosotros, aquellos de nosotros que estamos cansados ​​de la fórmula de las películas de terror modernas, la previsibilidad, la falta de respeto por la audiencia, esto puede ser su boleto.",positive
"Este es un buen momento para decir lo bueno que pienso en este sitio: me da la oportunidad de retroalimentar toda la frustración que viví durante dos horas, esperando que algo suceda, para que se muestre algo, para ser insinuado.Sutilmente, para un símbolo, una idea, lo que sea.No, solo violines largos, sin fin, alternados por un piano cansado.Voces cansadas, actores cansados y personajes y situaciones aburridas.Aburrido es la larga muerte de la mente, y esta película es, desde ese punto de vista, un enemigo público.Cuántos miles de horas en vivo todavía se habrán robado a otros miles de espectadores inocentes.No reclamo por mi dinero de vuelta, solo por mi tiempo y el momento de las personas que invité a ver esta cosa ... ¡Oh Dios!",negative
"Soy cristiano.Sin embargo, siempre he sido escéptico acerca de las películas hechas por los cristianos.Como regla general, son ""conocimientos de conocimientos"" cuando se trata de la producción de películas.Admiro la TBN por tratar de presentar a Dios y a Jesús de una manera positiva y honesta en la pantalla.Sin embargo, hicieron un trabajo horrible.La actuación fue horrible, y a menos que uno esté familiarizado con la Biblia de alguna manera, uno no podría haber entendido lo que la película estaba tratando de cruzar.No solo la película fue terriblemente hecha, sino que las personas que lo hicieron incluso tenían algunos hechos equivocados.Sin embargo, en esta ""crítica"", esos hechos son irrelevos y demasiado profundos para profundizar.En resumen, el código OMEGA es la peor película absoluta que he visto en mi vida, y no lo recomendaría a nadie, excepto el alivio cómico de todos los días.",negative
